Hero,Time
Tracer,3:00
Genji,2:00
Echo,0:00
Sojourn,0:00
Widowmaker,0:00
Cassidy,0:00
Soldier: 76,0:00
Mei,0:00
Pharah,0:00
Venture ,0:00
Bastion,0:00
Torbjorn,0:00
Ashe,0:00
Junkrat,0:00
Sombra,0:00
Hanzo,0:00
Reaper,0:00
Freja,0:00
Symmetra,0:00
0,0:00
Doomfist,0:00
Winston,0:00
Reinhardt,0:00
Wrecking Ball,0:00
Sigma,0:00
Roadhog,0:00
DVA,0:00
Zarya,0:00
Junker Queen,0:00
Orisa,0:00
Ramattra,0:00
Mauga,0:00
Hazard,0:00
0,0:00
Lucio,0:00
Ana,0:00
Kiriko,0:00
Juno,0:00
Baptiste,0:00
Illari,0:00
Zenyatta,0:00
Mercy,0:00
Moira,0:00
Brigitte,0:00
Lifeweaver,0:00
