Hero,Time
0,0:00
Ana,12:00
Ashe,7:00
Baptiste,10:00
Bastion,8:00
Brigitte,5:00
Cassidy,12:00
DVA,9:00
Doomfist,26:00
Echo,39:00
Freja,0:00
Genji,83:00
Hanzo,6:00
Hazard,2:00
Illari,9:00
Junker Queen,8:00
Junkrat,6:00
Juno,10:00
Kiriko,11:00
Lifeweaver,3:00
Lucio,22:00
Mauga,4:00
Mei,10:00
Mercy,6:00
Moira,5:00
Orisa,7:00
Pharah,8:00
Ramattra,4:00
Reaper,5:00
Reinhardt,19:00
Roadhog,14:00
Sigma,14:00
Sojourn,39:00
Soldier: 76,10:00
Sombra,6:00
Symmetra,6:00
Torbjorn,7:00
Tracer,89:00
Venture ,8:00
Widowmaker,28:00
Winston,23:00
Wrecking Ball,18:00
Zarya,8:00
Zenyatta,6:00
ana,10:01
ashe,4:56
dVa,5:58
doomfist,12:19
genji,39:03
hazard,62:28
junkerQueen,7:12
juno,26:00
orisa,4:05
ramattra,2:36
reinhardt,23:32
sojourn,10:16
symmetra,0:03
torbjorn,8:03
tracer,42:37
winston,6:35
wreckingBall,3:12
zarya,5:29
