Hero,Time
0,0:00
Ana,29:00
Ashe,5:00
Baptiste,22:00
Bastion,10:00
Brigitte,11:00
Cassidy,12:00
DVA,34:00
Doomfist,27:00
Echo,26:00
Freja,0:00
Genji,62:00
Hanzo,15:00
Hazard,0:00
Illari,5:00
Junker Queen,10:00
Junkrat,8:00
Juno,0:00
Kiriko,21:00
Lifeweaver,5:00
Lucio,24:00
Mauga,3:00
Mei,16:00
Mercy,10:00
Moira,17:00
Orisa,15:00
Pharah,32:00
Ramattra,5:00
Reaper,5:00
Reinhardt,32:00
Roadhog,36:00
Sigma,28:00
Sojourn,17:00
Soldier: 76,20:00
Sombra,8:00
Symmetra,9:00
Torbjorn,6:00
Tracer,22:00
Venture ,0:00
Widowmaker,16:00
Winston,15:00
Wrecking Ball,39:00
Zarya,9:00
Zenyatta,15:00
ana,15:52
baptiste,13:54
brigitte,10:05
kiriko,47:41
ramattra,8:07
winston,0:55
zenyatta,6:38
